bout_id,contender,arena,task,model,rep,status,findings,cost_usd,tokens_total,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,duration_s,api_s,turns,skill_fired,first_turn_prompt_tokens,rss_peak_kb,threads_peak,fds_peak,cpu_s,stages,findings_before_verify
b-c1156de5ee691d8d,openai-security-best-practices,dvpwa,security-audit,claude-opus-4-8@high,2,ok,6,0.468469,175054,16,7076,146119,21843,93.499,93.337,27,true,11355,248612,10,21,3.010255,,
b-add8a984f3049dd1,openai-security-best-practices,dvpwa,security-audit,claude-opus-4-8@high,3,ok,6,0.401365,127634,12,5931,101461,20230,76.421,76.269,26,true,11355,243436,10,20,2.77661,,
b-2ced92f493905977,ecc-security-review,dvpwa,security-audit,claude-opus-4-8@high,1,ok,6,0.448337,136754,12,5531,105485,25726,71.216,71.022,20,true,14339,288516,10,20,2.960248,,
b-ba883032b40f4cc6,ecc-security-review,dvpwa,security-audit,claude-opus-4-8@high,2,ok,7,0.403589,165476,14,5740,140758,18964,76.221,76.03,22,true,14339,258212,10,21,2.64345,,
b-8c02f71718d194f9,ecc-security-review,dvpwa,security-audit,claude-opus-4-8@high,3,ok,7,0.418041,166191,14,6280,140842,19055,88.173,87.992,23,true,14339,252516,10,20,3.05552,,
b-a7a7ec5865fde305,samber-golang-security,dvpwa,security-audit,claude-opus-4-8@high,1,ok,8,0.654852,194777,14,8667,149774,36322,110.905,110.659,35,true,14148,260584,10,20,3.65597,,
b-012a098fe655c672,samber-golang-security,dvpwa,security-audit,claude-opus-4-8@high,2,ok,7,0.482777,177611,14,7405,147825,22367,100.019,99.793,25,true,14148,276736,10,20,3.159538,,
b-22f879233b1a37a5,samber-golang-security,dvpwa,security-audit,claude-opus-4-8@high,3,ok,7,0.502619,176553,14,8150,145799,22590,106.092,105.842,25,true,14148,282092,10,20,3.238841,,
b-903a610341585706,tob-sharp-edges,dvpwa,security-audit,claude-opus-4-8@high,1,ok,6,0.477908,161886,14,5892,129396,26584,80.867,80.641,22,true,13364,287768,10,20,3.228831,,
b-9dbcb8fdeaa5180f,tob-sharp-edges,dvpwa,security-audit,claude-opus-4-8@high,2,ok,6,0.376768,157972,14,5539,135365,17054,87.443,87.212,20,true,13364,289564,10,20,3.295604,,
b-6ce90cfa7b122c73,tob-sharp-edges,dvpwa,security-audit,claude-opus-4-8@high,3,ok,7,0.409601,162089,14,6400,137602,18073,86.476,86.296,23,true,13364,247380,10,20,2.82347,,
b-be64f32258e6fc0b,tob-differential-review,dvpwa,security-audit,claude-opus-4-8@high,1,ok,7,0.523882,184074,16,6812,149364,27882,102.998,102.753,25,true,11894,265044,10,20,3.17144,,
b-03189a2ffa95cccd,tob-differential-review,dvpwa,security-audit,claude-opus-4-8@high,2,ok,6,0.381616,124065,12,6083,100023,17947,98.441,98.269,20,true,11894,279160,10,20,2.666746,,
b-6e24aac2bac7947f,tob-differential-review,dvpwa,security-audit,claude-opus-4-8@high,3,ok,6,0.428476,178251,16,6352,152551,19332,85.124,84.894,23,true,11894,253412,10,20,2.964121,,
b-08dd1d9fb474d4a5,anthropic-security-review-cmd,dvpwa,security-audit,claude-opus-4-8@high,1,schema_violation,0,0,0,0,0,0,0,0.043,0.0,0,true,,82488,4,11,0.15029,,
b-1459059465f378aa,anthropic-security-review-cmd,dvpwa,security-audit,claude-opus-4-8@high,2,schema_violation,0,0,0,0,0,0,0,0.042,0.0,0,true,,45080,4,10,0.103659,,
b-daabc0ef32f8a9c3,anthropic-security-review-cmd,dvpwa,security-audit,claude-opus-4-8@high,3,schema_violation,0,0,0,0,0,0,0,0.043,0.0,0,true,,60108,4,11,0.147219,,
b-b8899439c83812cd,every-ce-security-reviewer,dvpwa,security-audit,claude-opus-4-8@high,1,ok,7,0.410196,116403,12,5749,88422,22220,93.902,93.739,19,true,10940,242800,10,20,2.688159,,
b-e3091b2c2dbe53b9,every-ce-security-reviewer,dvpwa,security-audit,claude-opus-4-8@high,2,ok,7,0.404891,143650,14,6339,118592,18705,81.851,81.647,21,true,10940,241032,10,20,2.940356,,
b-6df1e36caf1209b6,every-ce-security-reviewer,dvpwa,security-audit,claude-opus-4-8@high,3,ok,7,0.381251,119062,12,6435,95351,17264,83.86,83.61,20,true,10940,288556,10,20,3.030054,,
b-301eceadefed5b1d,neolab-security-auditor,dvpwa,security-audit,claude-opus-4-8@high,1,ok,7,0.495507,157074,14,6859,124005,26196,90.681,90.488,21,true,12507,301000,10,20,3.189055,,
b-6f80a9523c599403,neolab-security-auditor,dvpwa,security-audit,claude-opus-4-8@high,2,ok,7,0.405355,152865,14,5767,127340,19744,77.505,77.264,24,true,12507,298696,10,20,3.445318,,
b-c28cac0fd14b2094,neolab-security-auditor,dvpwa,security-audit,claude-opus-4-8@high,3,ok,7,0.370843,125484,12,5883,102335,17254,78.231,78.023,19,true,12507,296548,10,20,3.255097,,
b-654071d0681ebd3c,baseline,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,3,1.426142,903337,32,9747,816134,77424,164.827,164.397,24,,6882,237980,12,26,4.31652,,
b-259b9259b3f17a57,baseline,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,4,1.803669,1346576,56,13198,1248398,84924,243.914,243.26,28,,6882,257292,10,20,6.110564,,
b-b462e00c512ab75f,baseline,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,2,1.336763,895349,38,8433,815056,71822,132.854,132.124,19,,6882,275292,10,20,4.351288,,
b-12ba8651f5033db1,cf-security-audit,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,4,1.556432,824682,26,13038,724824,86794,225.631,225.137,22,true,16298,254692,10,20,5.228524,,
b-24e36a49998de2de,cf-security-audit,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,3,1.611297,801552,26,14668,697275,89583,221.103,220.558,24,true,16298,291592,10,21,5.369939,,
b-18e18d909a683352,cf-security-audit,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,2,1.917229,1679797,58,13581,1587807,78351,210.08,209.409,29,true,16298,287148,10,20,6.279645,,
b-780cbe96e439ff2f,sentry-security-review,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,2,1.704009,1110967,40,11437,1008107,91383,178.138,177.432,23,true,13779,268472,10,20,5.182505,,
b-3a504c9ad501eb39,sentry-security-review,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,2,1.868271,1230982,36,12040,1118102,100804,179.656,179.012,27,true,13779,270432,10,20,4.817866,,
b-44ae5d1c4213ad73,sentry-security-review,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,3,1.668111,1287990,48,10925,1197413,79604,185.481,184.675,24,true,13779,277156,10,21,5.284445,,
b-39d2d2bad56357dd,sentry-code-review,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,4,1.75336,923617,32,12225,806950,104410,197.326,196.696,25,true,9981,300428,10,21,5.014472,,
b-c1e46773a300bb5f,sentry-code-review,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,2,1.878161,1203939,38,12913,1089972,101016,214.436,213.792,26,true,9981,283684,10,20,5.392068,,
b-420c5f9114f7c3b0,sentry-code-review,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,2,1.49192,982260,40,9252,891501,81467,156.894,156.15,20,true,9981,270600,10,20,4.510294,,
b-8cf65b8faa333583,openai-security-best-practices,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,3,1.505507,738538,26,10617,635684,92211,155.988,155.498,26,true,11371,270168,10,20,4.434017,,
b-f78f7216039fa301,openai-security-best-practices,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,3,1.317074,705799,26,9921,619958,75894,149.209,148.89,23,true,11371,273640,10,21,4.326263,,
b-fb7c02ac3a6eb369,openai-security-best-practices,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,3,1.296418,614543,28,10347,526745,77423,149.716,149.211,25,true,11371,278600,10,20,4.298189,,
b-ded7e2d21ba11170,ecc-security-review,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,3,1.900369,1314302,44,13613,1204908,95737,209.673,208.78,22,true,14355,299096,11,26,5.801161,,
b-12ee5184ce532933,ecc-security-review,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,4,1.530903,910390,34,12050,816166,82140,179.894,179.269,23,true,14355,281280,10,21,4.696598,,
b-eaeee864a0f635dc,ecc-security-review,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,4,1.479043,1031276,42,9597,944996,76641,220.669,219.889,21,true,14355,262056,10,20,5.493411,,
b-a712c1f0d617102f,samber-golang-security,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,3,1.764736,1089238,38,12786,980973,95441,211.697,211.051,19,true,14164,259828,10,20,5.134784,,
b-727196b09036ee11,samber-golang-security,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,4,1.700104,1122316,40,15107,1026259,80910,236.01,235.534,27,true,14164,300692,10,20,5.711839,,
b-c8bff40931aa21e1,samber-golang-security,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,3,1.523499,1254221,54,11844,1178537,63786,211.93,211.357,27,true,14164,280352,10,20,5.284551,,
b-9429e15cfa55309a,tob-sharp-edges,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,2,2.168594,1546430,46,14335,1422158,109891,233.525,232.809,23,true,13380,267024,10,20,5.053433,,
b-b30175294edf3197,tob-sharp-edges,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,4,1.955027,1531306,48,13472,1427355,90431,219.475,218.72,24,true,13380,299628,10,21,5.531536,,
b-fa3a994ee516c746,tob-sharp-edges,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,4,1.692562,1393746,58,14274,1311444,67970,228.248,227.638,29,true,13380,279368,10,20,5.462949,,
b-929e2986604958da,tob-differential-review,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,1,1.150937,791279,42,8614,725353,57270,149.538,149.101,21,true,11910,277776,10,20,4.271041,,
b-b35deca9d5855f34,tob-differential-review,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,3,2.316691,1882116,52,15186,1761263,105615,255.088,254.31,26,true,11910,292656,10,20,5.769408,,
b-0686275246850f0f,tob-differential-review,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,3,1.908341,1437758,46,14120,1334822,88770,214.083,213.389,23,true,11910,278992,11,28,4.87709,,
b-ddbb49a7d6458c6d,anthropic-security-review-cmd,warpgate-operator,security-audit,claude-opus-4-8@high,1,schema_violation,0,0,0,0,0,0,0,0.04,0.0,0,true,,45524,4,10,0.178458,,
b-42720681044a1b70,anthropic-security-review-cmd,warpgate-operator,security-audit,claude-opus-4-8@high,2,schema_violation,0,0,0,0,0,0,0,0.066,0.0,0,true,,220696,7,20,0.714556,,
b-dfecf314fbe26617,anthropic-security-review-cmd,warpgate-operator,security-audit,claude-opus-4-8@high,3,schema_violation,0,0,0,0,0,0,0,0.043,0.0,0,true,,95536,4,11,0.174658,,
b-e6678b9062024b29,every-ce-security-reviewer,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,1,1.135785,591143,24,7925,515200,67994,118.5,117.959,18,true,10956,255868,10,21,3.206948,,
b-31572c580fb48d65,every-ce-security-reviewer,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,4,1.4425,799897,28,10020,705961,83888,160.863,160.331,20,true,10956,295284,10,21,4.157219,,
b-177691869dcc2ff6,every-ce-security-reviewer,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,2,1.288467,931156,46,11091,862024,57995,175.81,175.269,23,true,10956,271672,10,20,4.948807,,
b-d72092394c638c3c,neolab-security-auditor,warpgate-operator,security-audit,claude-opus-4-8@high,1,ok,3,1.655007,1142067,40,10451,1044445,87131,164.679,164.018,20,true,12523,248440,10,20,4.393787,,
b-360a0d69e3b47249,neolab-security-auditor,warpgate-operator,security-audit,claude-opus-4-8@high,2,ok,3,1.458014,1045631,40,11331,965059,69201,180.224,179.574,20,true,12523,276672,10,20,4.357958,,
b-e8c3e586227cffe1,neolab-security-auditor,warpgate-operator,security-audit,claude-opus-4-8@high,3,ok,3,1.731283,1257600,42,10778,1158545,88235,181.158,180.436,21,true,12523,294720,10,20,4.972748,,
