arena,task,model,contender,n_bouts,n_ok,findings,findings_lo,findings_hi,tp,tp_lo,tp_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,judge_valid,judge_valid_lo,judge_valid_hi,cost_usd,cost_usd_lo,cost_usd_hi,tokens,tokens_lo,tokens_hi,duration_s,duration_s_lo,duration_s_hi,turns,turns_lo,turns_hi,rss_peak_mb,rss_peak_mb_lo,rss_peak_mb_hi,delta_tp,delta_tp_lo,delta_tp_hi,delta_f1,delta_f1_lo,delta_f1_hi,delta_cost_usd,delta_cost_usd_lo,delta_cost_usd_hi,cost_per_tp,skill_fired_rate,first_turn_tokens_vs_baseline,injection_flag,spent_usd,bout_ids,n_schema_violation
dvpwa,security-audit,claude-opus-4-8@high,tob-differential-review,3,3,6.333333,6.0,7.0,6.333333,6.0,7.0,,,,0.333333,0.3158,0.3684,,,,6.333333,6.0,7.0,0.444658,0.381616,0.523882,162130.0,124065.0,184074.0,95.521,85.124,102.998,22.666667,20.0,25.0,259.640625,247.472656,272.617188,0.333333,-0.666667,1.333333,,,,0.024265,-0.043353,0.096638,0.070209,1.0,5020.0,,1.333974,b-be64f32258e6fc0b b-03189a2ffa95cccd b-6e24aac2bac7947f,
dvpwa,security-audit,claude-opus-4-8@high,tob-sharp-edges,3,3,6.333333,6.0,7.0,6.333333,6.0,7.0,,,,0.333333,0.3158,0.3684,,,,6.333333,6.0,7.0,0.421426,0.376768,0.477908,160649.0,157972.0,162089.0,84.928667,80.867,87.443,21.666667,20.0,23.0,268.460938,241.582031,282.777344,0.333333,-0.666667,1.333333,,,,0.001032,-0.052877,0.057515,0.066541,1.0,6490.0,,1.264277,b-903a610341585706 b-9dbcb8fdeaa5180f b-6ce90cfa7b122c73,
warpgate-operator,security-audit,claude-opus-4-8@high,baseline,3,3,3.0,2.0,4.0,,,,,,,,,,,,,3.0,2.0,4.0,1.522191,1.336763,1.803669,1048420.666667,895349.0,1346576.0,180.531667,132.854,243.914,23.666667,19.0,28.0,250.834635,232.402344,268.839844,,,,,,,,,,,,,,4.566574,b-654071d0681ebd3c b-259b9259b3f17a57 b-b462e00c512ab75f,
warpgate-operator,security-audit,claude-opus-4-8@high,anthropic-security-review-cmd,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,b-ddbb49a7d6458c6d b-42720681044a1b70 b-dfecf314fbe26617,3
warpgate-operator,security-audit,claude-opus-4-8@high,cf-security-audit,3,3,3.0,2.0,4.0,,,,,,,,,,,,,3.0,2.0,4.0,1.694986,1.556432,1.917229,1102010.333333,801552.0,1679797.0,218.938,210.08,225.631,25.0,22.0,29.0,271.299479,248.722656,284.757812,,,,,,,0.172795,-0.108683,0.448696,,1.0,9416.0,,5.084958,b-12ba8651f5033db1 b-24e36a49998de2de b-18e18d909a683352,
warpgate-operator,security-audit,claude-opus-4-8@high,ecc-security-review,3,3,3.666667,3.0,4.0,,,,,,,,,,,,,3.666667,3.0,4.0,1.636772,1.479043,1.900369,1085322.666667,910390.0,1314302.0,203.412,179.894,220.669,22.0,21.0,23.0,274.229167,255.914062,292.085938,,,,,,,0.11458,-0.168991,0.410658,,1.0,7473.0,,4.910315,b-ded7e2d21ba11170 b-12ee5184ce532933 b-eaeee864a0f635dc,
warpgate-operator,security-audit,claude-opus-4-8@high,every-ce-security-reviewer,3,3,2.333333,1.0,4.0,,,,,,,,,,,,,2.333333,1.0,4.0,1.288917,1.135785,1.4425,774065.333333,591143.0,931156.0,151.724333,118.5,175.81,20.333333,18.0,23.0,267.846354,249.871094,288.363281,,,,,,,-0.233274,-0.514752,0.0246,,1.0,4074.0,,3.866752,b-e6678b9062024b29 b-31572c580fb48d65 b-177691869dcc2ff6,
warpgate-operator,security-audit,claude-opus-4-8@high,neolab-security-auditor,3,3,3.0,3.0,3.0,,,,,,,,,,,,,3.0,3.0,3.0,1.614768,1.458014,1.731283,1148432.666667,1045631.0,1257600.0,175.353667,164.679,181.158,20.333333,20.0,21.0,266.872396,242.617188,287.8125,,,,,,,0.092577,-0.188901,0.339302,,1.0,5641.0,,4.844304,b-d72092394c638c3c b-360a0d69e3b47249 b-e8c3e586227cffe1,
warpgate-operator,security-audit,claude-opus-4-8@high,openai-security-best-practices,3,3,3.0,3.0,3.0,,,,,,,,,,,,,3.0,3.0,3.0,1.373,1.296418,1.505507,686293.333333,614543.0,738538.0,151.637667,149.209,155.988,24.666667,23.0,26.0,267.710938,263.835938,272.070312,,,,,,,-0.149192,-0.381409,0.07614,,1.0,4489.0,,4.118999,b-8cf65b8faa333583 b-f78f7216039fa301 b-fb7c02ac3a6eb369,
warpgate-operator,security-audit,claude-opus-4-8@high,samber-golang-security,3,3,3.333333,3.0,4.0,,,,,,,,,,,,,3.333333,3.0,4.0,1.66278,1.523499,1.764736,1155258.333333,1089238.0,1254221.0,219.879,211.697,236.01,24.333333,19.0,27.0,273.721354,253.738281,293.644531,,,,,,,0.140588,-0.124535,0.376636,,1.0,7282.0,,4.988339,b-a712c1f0d617102f b-727196b09036ee11 b-c8bff40931aa21e1,
warpgate-operator,security-audit,claude-opus-4-8@high,sentry-code-review,3,3,2.666667,2.0,4.0,,,,,,,,,,,,,2.666667,2.0,4.0,1.707814,1.49192,1.878161,1036605.333333,923617.0,1203939.0,189.552,156.894,214.436,23.666667,20.0,26.0,278.226562,264.257812,293.386719,,,,,,,0.185622,-0.09876,0.470005,,1.0,3099.0,,5.123441,b-39d2d2bad56357dd b-c1e46773a300bb5f b-420c5f9114f7c3b0,
warpgate-operator,security-audit,claude-opus-4-8@high,sentry-security-review,3,3,2.333333,2.0,3.0,,,,,,,,,,,,,2.333333,2.0,3.0,1.746797,1.668111,1.868271,1209979.666667,1110967.0,1287990.0,181.091667,178.138,185.481,24.666667,23.0,27.0,265.644531,262.179688,270.660156,,,,,,,0.224606,-0.009716,0.446961,,1.0,6897.0,,5.240391,b-780cbe96e439ff2f b-3a504c9ad501eb39 b-44ae5d1c4213ad73,
warpgate-operator,security-audit,claude-opus-4-8@high,tob-differential-review,3,3,2.333333,1.0,3.0,,,,,,,,,,,,,2.333333,1.0,3.0,1.79199,1.150937,2.316691,1370384.333333,791279.0,1882116.0,206.236333,149.538,255.088,23.333333,21.0,26.0,276.505208,271.265625,285.796875,,,,,,,0.269798,-0.371254,0.814018,,1.0,5028.0,,5.375969,b-929e2986604958da b-b35deca9d5855f34 b-0686275246850f0f,
warpgate-operator,security-audit,claude-opus-4-8@high,tob-sharp-edges,3,3,3.333333,2.0,4.0,,,,,,,,,,,,,3.333333,2.0,4.0,1.938728,1.692562,2.168594,1490494.0,1393746.0,1546430.0,227.082667,219.475,233.525,25.333333,23.0,29.0,275.397135,260.765625,292.605469,,,,,,,0.416536,0.102224,0.730849,,1.0,6498.0,,5.816183,b-9429e15cfa55309a b-b30175294edf3197 b-fa3a994ee516c746,
